0;-0.92;0.32;0.28
1;-0.88;0.36;0.32
2;-0.88;0.36;0.32
3;-0.92;0.44;0.32
4;-0.92;0.44;0.32
5;-0.96;0.4;0.32
6;-0.96;0.44;0.36
7;-0.96;0.44;0.36
8;-0.96;0.44;0.36
9;-0.96;0.4;0.36
10;-0.96;0.36;0.36
11;-0.92;0.36;0.32
12;-0.92;0.36;0.32
13;-0.92;0.32;0.32
14;-0.92;0.32;0.32
15;-0.88;0.32;0.36
16;-0.88;0.32;0.36
17;-0.88;0.28;0.36
18;-0.88;0.28;0.36
19;-0.88;0.32;0.4
20;-0.84;0.36;0.44
21;-0.84;0.4;0.44
22;-0.84;0.4;0.56
23;-0.84;0.44;0.48
24;-0.84;0.44;0.48
25;-0.88;0.48;0.52
26;-0.84;0.48;0.56
27;-0.84;0.48;0.56
28;-0.84;0.48;0.56
29;-0.88;0.48;0.56
30;-0.88;0.48;0.56
31;-0.88;0.48;0.56
32;-0.88;0.48;0.56
33;-0.88;0.44;0.6
34;-0.88;0.44;0.6
35;-0.88;0.4;0.56
36;-0.84;0.36;0.6
37;-0.84;0.36;0.6
38;-0.84;0.36;0.6
39;-0.84;0.4;0.6
40;-0.88;0.4;0.6
41;-0.88;0.36;0.6
42;-0.84;0.36;0.56
43;-0.84;0.36;0.56
44;-0.8;0.28;0.52
45;-0.76;0.28;0.48
46;-0.76;0.28;0.48
47;-0.72;0.24;0.48
48;-0.68;0.24;0.48
49;-0.68;0.24;0.48
50;-0.68;0.24;0.44
51;-0.68;0.24;0.44
52;-0.68;0.24;0.44
53;-0.68;0.24;0.44
54;-0.68;0.24;0.44
55;-0.64;0.24;0.44
56;-0.64;0.2;0.4
57;-0.64;0.2;0.4
58;-0.64;0.2;0.4
59;-0.68;0.16;0.4
60;-0.68;0.16;0.4
61;-0.68;0.16;0.4
62;-0.68;0.16;0.4
63;-0.68;0.16;0.4
64;-0.72;0.16;0.32
65;-0.72;0.16;0.32
66;-0.72;0.2;0.32
67;-0.76;0.24;0.32
68;-0.8;0.24;0.32
69;-0.8;0.24;0.32
70;-0.84;0.2;0.32
71;-0.88;0.2;0.32
72;-0.88;0.2;0.32
73;-0.96;0.2;0.32
74;-1.08;0.24;0.32
75;-1.08;0.24;0.32
76;-1.16;0.24;0.32
77;-1.16;0.24;0.32
78;-1.32;0.24;0.36
79;-1.32;0.2;0.36
80;-1.32;0.2;0.36
81;-1.36;0.2;0.36
82;-1.4;0.2;0.36
83;-1.28;0.2;0.32
84;-1.24;0.2;0.32
85;-1.12;0.28;0.28
86;-1.12;0.28;0.28
87;-1.08;0.32;0.32
88;-1.08;0.36;0.36
89;-1.08;0.4;0.36
90;-1.08;0.4;0.36
91;-1.16;0.4;0.4
92;-1.16;0.36;0.4
93;-1.16;0.32;0.4
94;-1.16;0.28;0.36
95;-1.16;0.28;0.36
96;-1.08;0.2;0.32
97;-1.08;0.2;0.32
98;-1;0.16;0.24
99;-0.88;0.16;0.2
100;-0.88;0.16;0.2
101;-0.84;0.24;0.24
102;-0.8;0.28;0.24
103;-0.76;0.36;0.28
104;-0.72;0.4;0.28
105;-0.68;0.48;0.32
106;-0.68;0.48;0.32
107;-0.68;0.56;0.32
108;-0.68;0.56;0.32
109;-0.68;0.56;0.32
110;-0.72;0.56;0.32
111;-0.72;0.52;0.32
112;-0.76;0.48;0.32
113;-0.76;0.48;0.32
114;-0.8;0.44;0.32
115;-0.84;0.4;0.28
116;-0.84;0.4;0.28
117;-0.8;0.44;0.24
118;-0.84;0.44;0.24
119;-0.84;0.44;0.24
120;-0.88;0.44;0.24
121;-0.88;0.4;0.24
122;-1;0.4;0.32
123;-1;0.4;0.32
124;-1.04;0.4;0.32
125;-1.08;0.36;0.32
126;-1.12;0.36;0.36
127;-1.12;0.36;0.36
128;-1.12;0.36;0.36
129;-1.16;0.32;0.32
130;-1.12;0.28;0.32
131;-1.12;0.28;0.32
132;-1.12;0.24;0.32
133;-1.12;0.24;0.32
134;-1.12;0.24;0.32
135;-1.12;0.24;0.32
136;-1.12;0.24;0.32
137;-1.16;0.24;0.36
138;-1.16;0.24;0.36
139;-1.2;0.24;0.4
140;-1.24;0.24;0.4
141;-1.36;0.2;0.48
142;-1.36;0.2;0.48
143;-1.44;0.16;0.52
144;-1.44;0.16;0.52
145;-1.44;0.12;0.52
146;-1.4;0.12;0.48
147;-1.36;0.08;0.48
148;-1.36;0.08;0.48
149;-1.32;0.04;0.44
150;-1.32;0.04;0.44
151;-1.24;0;0.4
152;-1.24;0;0.4
153;-1.24;0;0.4
154;-1.12;-0.04;0.36
155;-0.96;-0.04;0.28
156;-0.96;-0.04;0.28
157;-0.84;0;0.2
158;-0.84;0;0.2
159;-0.84;0;0.2
160;-0.72;0.04;0.2
161;-0.72;0.04;0.2
162;-0.64;0.12;0.2
163;-0.64;0.16;0.24
164;-0.64;0.16;0.24
165;-0.64;0.16;0.24
166;-0.64;0.16;0.24
167;-0.68;0.16;0.28
168;-0.68;0.16;0.28
169;-0.68;0.16;0.28
